x,y
tensor(3.4889),tensor(-1.4948)
tensor(0.2879),tensor(1.0728)
tensor(0.5934),tensor(2.0894)
tensor(1.5751),tensor(0.4770)
tensor(9.7368),tensor(4.4438)
tensor(7.1126),tensor(3.2462)
tensor(6.4131),tensor(-2.0258)
tensor(0.0159),tensor(0.0421)
tensor(0.0821),tensor(-0.0237)
tensor(3.5650),tensor(1.6270)
tensor(1.6669),tensor(-0.2160)
tensor(1.7866),tensor(0.5410)
tensor(1.5350),tensor(0.4649)
tensor(0.7881),tensor(-0.1021)
tensor(0.4377),tensor(0.7756)
tensor(20.7785),tensor(-6.1966)
tensor(1.9836),tensor(0.9053)
tensor(12.2165),tensor(-3.5430)
tensor(1.6300),tensor(0.4936)
tensor(15.7378),tensor(-4.1870)
tensor(0.4617),tensor(0.8182)
tensor(0.2470),tensor(0.9203)
tensor(9.3151),tensor(4.2514)
tensor(1.6113),tensor(0.4880)
tensor(0.4707),tensor(2.6097)
tensor(0.0094),tensor(0.0249)
tensor(23.1444),tensor(-6.5460)
tensor(0.6874),tensor(1.8953)
tensor(0.4958),tensor(1.7803)
tensor(0.0204),tensor(0.0527)
tensor(0.4465),tensor(0.7913)
tensor(7.5811),tensor(-2.3263)
tensor(11.5137),tensor(-3.3391)
tensor(0.1245),tensor(0.3213)
tensor(1.8574),tensor(0.8477)
tensor(0.5854),tensor(2.1023)
tensor(0.4281),tensor(1.5074)
tensor(7.7999),tensor(3.5598)
tensor(0.2403),tensor(0.2301)
tensor(0.0326),tensor(0.0842)
tensor(1.5029),tensor(0.4551)
tensor(0.1246),tensor(0.4473)
tensor(10.9151),tensor(-3.1656)
tensor(6.2434),tensor(-1.9722)
tensor(0.5175),tensor(1.3649)
tensor(0.2472),tensor(0.9211)
tensor(6.6648),tensor(-2.0451)
tensor(0.3932),tensor(0.8595)
tensor(0.1891),tensor(0.4134)
tensor(0.2890),tensor(0.2767)
tensor(1.6229),tensor(0.4915)
tensor(0.4952),tensor(-0.0704)
tensor(1.8781),tensor(0.5688)
tensor(0.1988),tensor(0.7140)
tensor(0.4870),tensor(2.7002)
tensor(0.4869),tensor(1.7143)
tensor(0.1210),tensor(0.3123)
tensor(13.4621),tensor(-3.9042)
tensor(0.9146),tensor(2.5217)
tensor(0.3458),tensor(0.1047)
tensor(12.4260),tensor(-3.6037)
tensor(0.6516),tensor(0.6238)
tensor(12.1107),tensor(-3.5123)
tensor(21.8516),tensor(-6.1803)
tensor(0.2545),tensor(0.9140)
tensor(22.4845),tensor(-6.3594)
tensor(0.6531),tensor(3.6210)
tensor(1.5221),tensor(0.8478)
tensor(1.5549),tensor(0.4709)
tensor(14.1247),tensor(-4.0964)
tensor(0.4746),tensor(1.7044)
tensor(6.7985),tensor(-2.0861)
tensor(0.5986),tensor(1.0608)
tensor(0.9881),tensor(5.4780)
tensor(3.1572),tensor(1.4409)
tensor(7.1744),tensor(-2.2015)
tensor(10.1069),tensor(-2.9312)
tensor(0.2413),tensor(0.2311)
tensor(0.5932),tensor(1.0512)
tensor(3.5687),tensor(1.6287)
tensor(9.7702),tensor(4.4591)
tensor(0.2896),tensor(1.0792)
tensor(0.1588),tensor(0.5703)
tensor(7.6956),tensor(3.5122)
tensor(1.1005),tensor(6.1011)
tensor(2.9829),tensor(1.3614)
tensor(0.5137),tensor(1.1228)
tensor(19.8646),tensor(-7.8918)
tensor(21.7797),tensor(-6.1600)
